trade_id,side,size,price,time
11179059,buy,1498.78000000,1.00080000,2025-10-04T00:24:16.047509Z
11179058,sell,50.63000000,1.00090000,2025-10-04T00:22:51.691925Z
11179057,sell,9.33000000,1.00080000,2025-10-04T00:22:51.691925Z
11179059,buy,1498.78000000,1.00080000,2025-10-04T00:24:16.047509Z
11179058,sell,50.63000000,1.00090000,2025-10-04T00:22:51.691925Z
11179057,sell,9.33000000,1.00080000,2025-10-04T00:22:51.691925Z
11179056,buy,999.16000000,1.00070000,2025-10-03T23:49:32.107787Z
11179055,sell,223.85000000,1.00080000,2025-10-03T23:38:01.298515Z
11179054,buy,2.64000000,1.00070000,2025-10-03T23:27:29.207019Z
11179053,buy,1070.41000000,1.00070000,2025-10-03T23:26:23.525334Z
11179052,buy,16647.87000000,1.00070000,2025-10-03T23:23:54.877533Z
11179051,buy,1498.73000000,1.00080000,2025-10-03T23:20:26.486619Z
11179050,buy,25.68000000,1.00080000,2025-10-03T23:19:54.219048Z
11179049,sell,1.98000000,1.00080000,2025-10-03T23:19:42.295820Z
11179048,sell,10.39000000,1.00080000,2025-10-03T23:19:42.295820Z
11179047,buy,4496.16000000,1.00070000,2025-10-03T23:12:00.596675Z
11179046,buy,499.84000000,1.00070000,2025-10-03T23:12:00.596675Z
11179045,buy,850.00000000,1.00070000,2025-10-03T23:10:23.763309Z
11179044,buy,14204.84000000,1.00070000,2025-10-03T23:10:23.763309Z
11179043,buy,12342.47000000,1.00070000,2025-10-03T23:09:59.642380Z
11179042,buy,100.91000000,1.00080000,2025-10-03T23:09:50.527883Z
11179041,buy,10.39000000,1.00080000,2025-10-03T23:08:53.617284Z
11179040,buy,970.80000000,1.00080000,2025-10-03T23:08:42.729090Z
11179039,sell,527.98000000,1.00080000,2025-10-03T23:06:52.164134Z
11179038,sell,1236.82000000,1.00090000,2025-10-03T23:05:50.523383Z
11179037,buy,897.95000000,1.00080000,2025-10-03T23:03:29.206600Z
11179036,buy,298.30000000,1.00080000,2025-10-03T23:03:29.206600Z
11179035,buy,1.70000000,1.00080000,2025-10-03T23:03:28.231136Z
11179034,buy,1186.70000000,1.00080000,2025-10-03T23:03:22.133833Z
11179033,buy,7.33000000,1.00080000,2025-10-03T23:03:21.145600Z
11179032,buy,296.70000000,1.00080000,2025-10-03T23:03:14.104736Z
11179031,buy,300.00000000,1.00080000,2025-10-03T23:03:14.104736Z
11179030,sell,227.96000000,1.00090000,2025-10-03T23:01:40.269532Z
11179029,sell,30.00000000,1.00080000,2025-10-03T23:00:28.702368Z
11179028,sell,10.38000000,1.00080000,2025-10-03T23:00:28.702368Z
11179027,sell,730.83000000,1.00080000,2025-10-03T23:00:28.702368Z
11179026,buy,38.17000000,1.00070000,2025-10-03T22:56:27.747495Z
11179025,buy,75043.37000000,1.00070000,2025-10-03T22:37:47.046693Z
11179024,buy,300.00000000,1.00070000,2025-10-03T22:37:47.046693Z
11179023,buy,134.90000000,1.00070000,2025-10-03T22:27:40.253760Z
11179022,sell,45.00000000,1.00080000,2025-10-03T22:25:11.610121Z
11179021,sell,45.00000000,1.00080000,2025-10-03T22:25:11.375944Z
11179020,sell,45.00000000,1.00080000,2025-10-03T22:25:11.303932Z
11179019,sell,45.00000000,1.00080000,2025-10-03T22:25:10.920972Z
11179018,sell,45.00000000,1.00080000,2025-10-03T22:25:10.624197Z
11179017,sell,45.00000000,1.00080000,2025-10-03T22:25:10.565494Z
11179016,sell,45.00000000,1.00080000,2025-10-03T22:25:10.187464Z
11179015,sell,45.00000000,1.00080000,2025-10-03T22:25:10.083683Z
11179014,sell,45.00000000,1.00080000,2025-10-03T22:25:09.830819Z
11179013,sell,45.00000000,1.00080000,2025-10-03T22:25:09.605415Z
11179012,sell,45.00000000,1.00080000,2025-10-03T22:25:09.600375Z
11179011,sell,45.00000000,1.00080000,2025-10-03T22:25:09.351616Z
11179010,sell,45.00000000,1.00080000,2025-10-03T22:25:09.035791Z
11179009,sell,45.00000000,1.00080000,2025-10-03T22:25:09.026106Z
11179008,sell,45.00000000,1.00080000,2025-10-03T22:25:08.773778Z
11179007,sell,45.00000000,1.00080000,2025-10-03T22:25:08.759765Z
11179006,sell,45.00000000,1.00080000,2025-10-03T22:25:08.507051Z
11179005,sell,45.00000000,1.00080000,2025-10-03T22:25:08.497269Z
11179004,buy,4.00000000,1.00070000,2025-10-03T22:23:10.731894Z
11179003,buy,309.00000000,1.00070000,2025-10-03T22:22:38.893843Z
11179002,buy,130.00000000,1.00070000,2025-10-03T22:19:45.717757Z
11179001,sell,45.00000000,1.00080000,2025-10-03T22:11:39.544066Z
11179000,sell,45.00000000,1.00080000,2025-10-03T22:11:39.534876Z
11178999,sell,45.00000000,1.00080000,2025-10-03T22:11:39.300126Z
11178998,sell,45.00000000,1.00080000,2025-10-03T22:11:39.283239Z
11178997,buy,88.24000000,1.00070000,2025-10-03T22:03:49.984504Z
11178996,buy,105.13000000,1.00070000,2025-10-03T22:02:57.431405Z
11178995,buy,266.45000000,1.00070000,2025-10-03T21:54:19.517332Z
11178994,buy,188.51000000,1.00070000,2025-10-03T21:45:10.525721Z
11178993,buy,500.00000000,1.00070000,2025-10-03T21:44:49.643244Z
11178992,sell,24.76000000,1.00080000,2025-10-03T21:41:01.801507Z
11178991,buy,12.06000000,1.00070000,2025-10-03T21:40:34.060884Z
11178990,buy,42447.23000000,1.00070000,2025-10-03T21:34:17.312129Z
11178989,buy,21531.43000000,1.00070000,2025-10-03T21:33:52.064972Z
11178988,buy,28958.57000000,1.00070000,2025-10-03T21:33:52.064972Z
11178987,sell,108.31000000,1.00080000,2025-10-03T21:26:05.442199Z
11178986,sell,2347.36000000,1.00080000,2025-10-03T21:15:04.278426Z
11178985,buy,1498.74000000,1.00080000,2025-10-03T21:13:21.346355Z
11178984,buy,300.00000000,1.00080000,2025-10-03T21:13:21.346355Z
11178983,buy,72240.58000000,1.00070000,2025-10-03T21:13:21.087721Z
11178982,buy,1685.00000000,1.00080000,2025-10-03T21:13:21.087721Z
11178981,buy,80.51000000,1.00080000,2025-10-03T21:13:21.087721Z
11178980,buy,300.00000000,1.00080000,2025-10-03T21:13:21.087721Z
11178979,buy,955.80000000,1.00080000,2025-10-03T21:06:10.466453Z
11178978,buy,45.00000000,1.00080000,2025-10-03T21:04:48.443118Z
11178977,buy,45.00000000,1.00080000,2025-10-03T21:04:48.440878Z
11178976,buy,45.00000000,1.00080000,2025-10-03T21:04:48.225305Z
11178975,buy,45.00000000,1.00080000,2025-10-03T21:04:48.199765Z
11178974,buy,45.00000000,1.00080000,2025-10-03T21:04:45.835671Z
11178973,buy,45.00000000,1.00080000,2025-10-03T21:04:45.827660Z
11178972,buy,45.00000000,1.00080000,2025-10-03T21:04:45.571641Z
11178971,buy,45.00000000,1.00080000,2025-10-03T21:04:45.559334Z
11178970,buy,45.00000000,1.00080000,2025-10-03T21:04:45.316875Z
11178969,buy,45.00000000,1.00080000,2025-10-03T21:04:45.314235Z
11178968,buy,45.00000000,1.00080000,2025-10-03T21:04:45.068951Z
11178967,buy,45.00000000,1.00080000,2025-10-03T21:04:45.066900Z
